feedback_id,timestamp,department,feedback_source,feedback_text,sentiment_label,sentiment_intensity,rating_score,emotional_tone,word_count,character_count,exclamation_count,question_count,intern_experience,program_duration,has_suggestion,would_recommend
FB_00030,2024-07-25 00:00:00,Data Science,Email Feedback,There were several issues with the program. The project planning needs to be addressed for future interns.,negative,0.45,2.3,concerned,17,106,0,0,Experienced,16 weeks,False,False
FB_00031,2024-10-07 00:00:00,Software Engineering,Exit Interview,It was a standard internship experience. I completed my assignments in Software Engineering.,neutral,0.48,2.8,objective,13,92,0,0,First Internship,16 weeks,False,False
FB_00032,2024-08-30 00:00:00,Business Analytics,Social Media,It was a standard internship experience. I completed my assignments in Business Analytics.,neutral,0.38,2.4,reserved,13,90,0,0,Experienced,12 weeks,False,False
FB_00033,2024-03-16 00:00:00,Research,Email Feedback,The internship was standard. I worked on machine learning models and gained experience in project management.,neutral,0.64,3.4,calm,16,109,0,0,First Internship,8 weeks,False,False
FB_00034,2024-12-01 00:00:00,Data Science,Exit Interview,The company culture is dynamic and exciting. I felt supported and valued during my time here.,positive,0.95,4.5,grateful,16,93,0,0,Experienced,8 weeks,True,True
FB_00035,2024-08-25 00:00:00,Data Science,Mentor Meeting,My mentor was very knowledgeable. The Data Science team provided excellent guidance throughout the program.,positive,0.7,4.7,grateful,15,107,0,0,Experienced,16 weeks,True,True
FB_00036,2024-08-18 00:00:00,UX Design,Social Media,The program was acceptable. I learned some skills in team collaboration during my time here.,neutral,0.65,3.2,objective,15,92,0,0,Some Experience,12 weeks,True,False
FB_00037,2024-05-19 00:00:00,Business Analytics,Exit Interview,The internship provided adequate learning opportunities. The mentor support was as expected.,neutral,0.66,3.0,calm,12,92,0,0,Some Experience,16 weeks,True,False
FB_00038,2024-04-15 00:00:00,Software Engineering,Mid-term Review,My mentor was always available. The Software Engineering team provided excellent guidance throughout the program.,positive,0.92,3.2,excited,15,113,0,0,Some Experience,6 months,True,True
FB_00039,2024-10-06 00:00:00,Business Analytics,Email Feedback,The company culture is dynamic and exciting. I felt supported and valued during my time here.,positive,0.76,4.5,inspired,16,93,0,0,Experienced,12 weeks,False,True
FB_00040,2024-09-30 00:00:00,Marketing,Exit Interview,I would highly recommend this program to others. The mentor support made it a wonderful experience.,positive,0.5,4.5,inspired,16,99,0,0,First Internship,6 months,False,True
FB_00041,2024-08-20 00:00:00,Research,End-of-Program Survey,I would highly recommend this program to others. The team environment made it a wonderful experience.,positive,0.85,4.4,grateful,16,101,0,0,Some Experience,16 weeks,True,True
FB_00042,2024-01-27 00:00:00,UX Design,Weekly Check-in,It was a standard internship experience. I completed my assignments in UX Design.,neutral,0.45,3.7,reserved,13,81,0,0,Some Experience,12 weeks,False,True
FB_00043,2024-03-05 00:00:00,Research,End-of-Program Survey,My experience was satisfactory. The Research program met the basic expectations.,neutral,0.45,2.6,calm,11,80,0,0,Some Experience,8 weeks,False,False
FB_00044,2024-06-08 00:00:00,Research,Weekly Check-in,My experience was satisfactory. The Research program met the basic expectations.,neutral,0.53,3.5,calm,11,80,0,0,First Internship,8 weeks,True,True
FB_00045,2024-10-16 00:00:00,UX Design,Exit Interview,"The UX Design program needs improvement. Specifically, the project assignments was disappointing.",negative,0.38,1.6,frustrated,12,97,0,0,First Internship,16 weeks,False,False
FB_00046,2024-08-10 00:00:00,Research,Weekly Check-in,This internship exceeded my expectations. The learning opportunities was particularly valuable for my career development.,positive,0.95,4.5,grateful,15,121,0,0,First Internship,16 weeks,False,True
FB_00047,2024-08-25 00:00:00,Business Analytics,Mentor Meeting,I would highly recommend this program to others. The project variety made it a wonderful experience.,positive,0.75,4.1,grateful,16,100,0,0,Experienced,6 months,False,True
FB_00048,2024-09-21 00:00:00,UX Design,Mentor Meeting,I would highly recommend this program to others. The company culture made it a wonderful experience.,positive,0.58,4.3,excited,16,100,0,0,First Internship,8 weeks,False,True
FB_00049,2024-04-23 00:00:00,UX Design,Exit Interview,My mentor was excellent guide. The UX Design team provided excellent guidance throughout the program.,positive,0.84,4.6,enthusiastic,15,101,0,0,Some Experience,12 weeks,False,True
FB_00050,2024-06-05 00:00:00,Business Analytics,Weekly Check-in,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive,0.76,4.5,enthusiastic,16,103,0,0,Some Experience,12 weeks,False,True
FB_00051,2024-05-31 00:00:00,Software Engineering,Weekly Check-in,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive,0.74,3.8,grateful,16,103,0,0,First Internship,16 weeks,False,True
FB_00052,2024-10-20 00:00:00,Data Science,Email Feedback,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive,0.68,4.3,excited,15,115,0,0,Some Experience,6 months,False,True
FB_00053,2024-11-18 00:00:00,Marketing,Mid-term Review,My experience was below expectations. The limited learning opportunities affected my learning significantly.,negative,0.36,1.9,suggestive,13,108,0,0,Experienced,8 weeks,False,False
FB_00054,2024-08-18 00:00:00,Business Analytics,Weekly Check-in,My mentor was great teacher. The Business Analytics team provided excellent guidance throughout the program.,positive,0.83,5.0,satisfied,15,108,0,0,Some Experience,16 weeks,True,True
FB_00055,2024-05-02 00:00:00,UX Design,Weekly Check-in,The internship experience was impressive. I really enjoyed working on machine learning models and learned so much about Python programming.,positive,0.79,4.6,grateful,20,139,0,0,First Internship,8 weeks,False,True
FB_00056,2024-12-25 00:00:00,UX Design,Exit Interview,It was a standard internship experience. I completed my assignments in UX Design.,neutral,0.5,2.0,balanced,13,81,0,0,Some Experience,8 weeks,False,True
FB_00057,2024-05-16 00:00:00,Research,Social Media,My experience was satisfactory. The Research program met the basic expectations.,neutral,0.75,3.0,calm,11,80,0,0,First Internship,8 weeks,False,True
FB_00058,2024-05-19 00:00:00,Business Analytics,Email Feedback,The internship provided adequate learning opportunities. The mentor support was as expected.,neutral,0.53,2.9,objective,12,92,0,0,Experienced,6 months,False,True
FB_00059,2024-01-21 00:00:00,UX Design,Email Feedback,This internship exceeded my expectations. The company culture was particularly valuable for my career development.,positive,0.62,4.5,inspired,15,114,0,0,First Internship,6 months,False,True
FB_00060,2024-06-13 00:00:00,UX Design,Weekly Check-in,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive,0.91,5.0,enthusiastic,16,103,0,0,Experienced,8 weeks,True,True
FB_00061,2024-02-29 00:00:00,Marketing,Exit Interview,This internship exceeded my expectations. The project variety was particularly valuable for my career development.,positive,0.66,4.9,enthusiastic,15,114,0,0,Some Experience,8 weeks,False,True
FB_00062,2024-10-08 00:00:00,Business Analytics,Exit Interview,My mentor was excellent guide. The Business Analytics team provided excellent guidance throughout the program.,positive,0.59,5.0,enthusiastic,15,110,0,0,First Internship,16 weeks,False,True
FB_00063,2024-02-17 00:00:00,Research,Exit Interview,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive,1.0,4.8,satisfied,16,96,0,0,First Internship,8 weeks,False,True
FB_00064,2024-09-04 00:00:00,Data Science,Email Feedback,It was a standard internship experience. I completed my assignments in Data Science.,neutral,0.44,2.5,objective,13,84,0,0,Some Experience,12 weeks,False,False
FB_00065,2024-06-01 00:00:00,Software Engineering,Social Media,My mentor was great teacher. The Software Engineering team provided excellent guidance throughout the program.,positive,0.72,4.5,enthusiastic,15,110,0,0,Experienced,6 months,True,True
FB_00066,2024-07-15 00:00:00,UX Design,Social Media,This internship exceeded my expectations. The project variety was particularly valuable for my career development.,positive,0.81,3.7,inspired,15,114,0,0,First Internship,6 months,False,True
FB_00067,2024-01-19 00:00:00,Research,Exit Interview,It was a standard internship experience. I completed my assignments in Research.,neutral,0.55,2.5,objective,12,80,0,0,First Internship,16 weeks,True,True
FB_00068,2024-06-22 00:00:00,UX Design,End-of-Program Survey,I would highly recommend this program to others. The project variety made it a wonderful experience.,positive,1.0,4.0,enthusiastic,16,100,0,0,Experienced,6 months,False,True
FB_00069,2024-04-30 00:00:00,Marketing,Mentor Meeting,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive,0.75,4.1,excited,16,96,0,0,Experienced,16 weeks,True,True
FB_00070,2024-05-30 00:00:00,Research,End-of-Program Survey,The internship experience was exceptionally valuable. I really enjoyed working on user research and learned so much about data visualization.,positive,0.62,4.9,excited,20,141,0,0,Some Experience,16 weeks,False,True
FB_00071,2024-03-14 00:00:00,Software Engineering,Social Media,My mentor was excellent guide. The Software Engineering team provided excellent guidance throughout the program.,positive,1.0,4.6,inspired,15,112,0,0,First Internship,6 months,False,True
FB_00072,2024-06-02 00:00:00,UX Design,Weekly Check-in,I would highly recommend this program to others. The team environment made it a wonderful experience.,positive,0.83,3.7,inspired,16,101,0,0,Experienced,6 months,False,True
FB_00073,2024-12-24 00:00:00,UX Design,Mentor Meeting,I would highly recommend this program to others. The company culture made it a wonderful experience.,positive,0.92,4.6,enthusiastic,16,100,0,0,Some Experience,8 weeks,True,True
FB_00074,2024-04-22 00:00:00,Research,Exit Interview,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive,0.6,3.9,enthusiastic,16,101,0,0,Experienced,12 weeks,False,True
FB_00075,2024-08-13 00:00:00,Research,Mentor Meeting,My experience was satisfactory. The Research program met the basic expectations.,neutral,0.53,3.3,balanced,11,80,0,0,First Internship,16 weeks,True,False
FB_00076,2024-09-13 00:00:00,Marketing,Weekly Check-in,My experience was satisfactory. The Marketing program met the basic expectations.,neutral,0.53,3.1,reserved,11,81,0,0,Some Experience,12 weeks,False,True
FB_00077,2024-02-16 00:00:00,UX Design,Mentor Meeting,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive,0.83,4.2,enthusiastic,15,113,0,0,Some Experience,8 weeks,False,True
FB_00078,2024-11-13 00:00:00,Data Science,Exit Interview,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive,0.69,4.6,excited,15,115,0,0,Experienced,16 weeks,True,True
FB_00079,2024-09-09 00:00:00,Software Engineering,Email Feedback,I would highly recommend this program to others. The learning opportunities made it a wonderful experience.,positive,0.87,5.0,enthusiastic,16,107,0,0,First Internship,8 weeks,False,True
FB_00080,2024-07-27 00:00:00,Business Analytics,Mid-term Review,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive,0.9,3.9,inspired,15,113,0,0,Some Experience,8 weeks,False,True
FB_00081,2024-05-21 00:00:00,Software Engineering,Exit Interview,My mentor was great teacher. The Software Engineering team provided excellent guidance throughout the program.,positive,0.92,4.0,satisfied,15,110,0,0,First Internship,8 weeks,True,True
FB_00082,2024-04-16 00:00:00,UX Design,End-of-Program Survey,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive,0.68,5.0,inspired,16,101,0,0,Experienced,12 weeks,True,True
FB_00083,2024-05-08 00:00:00,Software Engineering,Weekly Check-in,The program was acceptable. I learned some skills in data visualization during my time here.,neutral,0.54,3.5,reserved,15,92,0,0,First Internship,8 weeks,False,False
FB_00084,2024-01-27 00:00:00,Data Science,Weekly Check-in,My experience was satisfactory. The Data Science program met the basic expectations.,neutral,0.69,3.4,balanced,12,84,0,0,First Internship,6 months,False,True
FB_00085,2024-01-23 00:00:00,UX Design,Exit Interview,The program was acceptable. I learned some skills in team collaboration during my time here.,neutral,0.42,2.9,reserved,15,92,0,0,Experienced,16 weeks,False,True
FB_00086,2024-02-11 00:00:00,Data Science,Exit Interview,It was a standard internship experience. I completed my assignments in Data Science.,neutral,0.42,2.6,neutral,13,84,0,0,Some Experience,12 weeks,False,False
FB_00087,2024-12-01 00:00:00,Research,Social Media,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive,0.85,4.5,excited,15,115,0,0,Experienced,12 weeks,False,True
FB_00088,2024-07-10 00:00:00,Software Engineering,Exit Interview,I would highly recommend this program to others. The team environment made it a wonderful experience.,positive,0.92,4.6,enthusiastic,16,101,0,0,First Internship,6 months,False,True
FB_00089,2024-06-30 00:00:00,Data Science,End-of-Program Survey,This internship exceeded my expectations. The company culture was particularly valuable for my career development.,positive,1.0,4.5,satisfied,15,114,0,0,Experienced,6 months,True,True
FB_00090,2024-12-02 00:00:00,Research,End-of-Program Survey,There were several issues with the program. The workload distribution needs to be addressed for future interns.,negative,0.71,1.8,disappointed,17,111,0,0,Some Experience,12 weeks,True,False
FB_00091,2024-01-15 00:00:00,Marketing,Mentor Meeting,The internship experience was fantastic. I really enjoyed working on business analysis and learned so much about data visualization.,positive,0.67,4.8,enthusiastic,19,132,0,0,First Internship,16 weeks,True,True
FB_00092,2024-09-28 00:00:00,Marketing,Weekly Check-in,My mentor was extremely supportive. The Marketing team provided excellent guidance throughout the program.,positive,0.87,4.0,excited,14,106,0,0,First Internship,6 months,False,True
FB_00093,2024-12-11 00:00:00,Marketing,Mid-term Review,This internship exceeded my expectations. The learning opportunities was particularly valuable for my career development.,positive,0.91,4.4,excited,15,121,0,0,First Internship,16 weeks,False,True
FB_00094,2024-12-13 00:00:00,UX Design,Exit Interview,I would highly recommend this program to others. The learning opportunities made it a wonderful experience.,positive,0.79,4.7,enthusiastic,16,107,0,0,Experienced,6 months,False,True
FB_00095,2024-06-16 00:00:00,Marketing,End-of-Program Survey,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive,0.57,4.1,enthusiastic,16,101,0,0,First Internship,8 weeks,False,True
FB_00096,2024-01-10 00:00:00,UX Design,Mid-term Review,The company culture is dynamic and exciting. I felt supported and valued during my time here.,positive,0.93,4.3,satisfied,16,93,0,0,Some Experience,8 weeks,True,True
FB_00097,2024-12-19 00:00:00,Business Analytics,Exit Interview,I would highly recommend this program to others. The company culture made it a wonderful experience.,positive,0.61,4.6,satisfied,16,100,0,0,Some Experience,8 weeks,False,True
FB_00098,2024-02-09 00:00:00,Data Science,Mid-term Review,I would highly recommend this program to others. The team environment made it a wonderful experience.,positive,0.86,4.6,grateful,16,101,0,0,Experienced,8 weeks,False,True
FB_00099,2024-12-01 00:00:00,Software Engineering,Mentor Meeting,My mentor was very knowledgeable. The Software Engineering team provided excellent guidance throughout the program.,positive,0.82,4.1,grateful,15,115,0,0,First Internship,12 weeks,True,True
FB_00100,2024-08-13 00:00:00,Research,Exit Interview,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive,0.63,4.5,grateful,16,103,0,0,First Internship,6 months,False,True
FB_00101,2024-07-07 00:00:00,Marketing,Mentor Meeting,The internship experience was wonderful. I really enjoyed working on business analysis and learned so much about Python programming.,positive,0.88,4.7,excited,19,132,0,0,Some Experience,8 weeks,False,True
FB_00102,2024-08-31 00:00:00,Data Science,Social Media,I would highly recommend this program to others. The team environment made it a wonderful experience.,positive,0.96,5.0,inspired,16,101,0,0,Experienced,12 weeks,True,True
FB_00103,2024-05-06 00:00:00,UX Design,End-of-Program Survey,The internship provided adequate learning opportunities. The learning opportunities was as expected.,neutral,0.41,2.3,neutral,12,100,0,0,Experienced,6 months,True,True
FB_00104,2024-02-18 00:00:00,Business Analytics,Mid-term Review,This internship exceeded my expectations. The company culture was particularly valuable for my career development.,positive,0.88,4.8,enthusiastic,15,114,0,0,Experienced,6 months,False,True
FB_00105,2024-06-07 00:00:00,Research,Mentor Meeting,The program was acceptable. I learned some skills in Python programming during my time here.,neutral,0.89,3.3,balanced,15,92,0,0,Experienced,6 months,False,True
FB_00106,2024-01-10 00:00:00,Data Science,Weekly Check-in,This internship exceeded my expectations. The company culture was particularly valuable for my career development.,positive,0.97,4.8,enthusiastic,15,114,0,0,Some Experience,16 weeks,False,True
FB_00107,2024-09-16 00:00:00,Software Engineering,Weekly Check-in,I would not recommend this internship. The management style made it difficult to benefit fully.,negative,0.4,2.8,frustrated,15,95,0,0,Experienced,8 weeks,False,False
FB_00108,2024-07-05 00:00:00,Business Analytics,Mid-term Review,My mentor was very knowledgeable. The Business Analytics team provided excellent guidance throughout the program.,positive,0.91,4.3,satisfied,15,113,0,0,Experienced,12 weeks,True,True
FB_00109,2024-04-09 00:00:00,Business Analytics,Weekly Check-in,It was a standard internship experience. I completed my assignments in Business Analytics.,neutral,0.48,2.6,objective,13,90,0,0,Some Experience,6 months,False,False
FB_00110,2024-02-22 00:00:00,UX Design,Social Media,My mentor was extremely supportive. The UX Design team provided excellent guidance throughout the program.,positive,0.81,4.3,inspired,15,106,0,0,Experienced,8 weeks,False,True
FB_00111,2024-01-28 00:00:00,Software Engineering,Weekly Check-in,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive,0.52,5.0,satisfied,16,103,0,0,Some Experience,16 weeks,False,True
FB_00112,2024-08-29 00:00:00,Data Science,Weekly Check-in,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive,0.56,4.8,enthusiastic,15,115,0,0,Experienced,12 weeks,True,True
FB_00113,2024-05-01 00:00:00,UX Design,Exit Interview,The internship experience was extremely rewarding. I really enjoyed working on marketing campaigns and learned so much about data visualization.,positive,0.96,4.3,enthusiastic,20,144,0,0,Some Experience,8 weeks,False,True
FB_00114,2024-10-21 00:00:00,UX Design,Email Feedback,It was a standard internship experience. I completed my assignments in UX Design.,neutral,0.39,3.0,reserved,13,81,0,0,First Internship,12 weeks,False,False
FB_00115,2024-01-23 00:00:00,Marketing,Mid-term Review,My mentor was great teacher. The Marketing team provided excellent guidance throughout the program.,positive,0.9,4.1,satisfied,14,99,0,0,Experienced,6 months,True,True
FB_00116,2024-06-29 00:00:00,Marketing,Email Feedback,The internship experience was wonderful. I really enjoyed working on software development and learned so much about data analysis.,positive,0.83,4.1,excited,19,130,0,0,Experienced,16 weeks,True,True
FB_00117,2024-08-22 00:00:00,Software Engineering,Mentor Meeting,It was a standard internship experience. I completed my assignments in Software Engineering.,neutral,0.43,3.0,neutral,13,92,0,0,First Internship,16 weeks,False,True
FB_00118,2024-07-01 00:00:00,Data Science,Weekly Check-in,There were several issues with the program. The workload distribution needs to be addressed for future interns.,negative,0.4,3.7,concerned,17,111,0,0,First Internship,16 weeks,False,False
FB_00119,2024-07-07 00:00:00,Marketing,Exit Interview,It was a standard internship experience. I completed my assignments in Marketing.,neutral,0.52,2.0,objective,12,81,0,0,Experienced,16 weeks,True,True
FB_00120,2024-08-16 00:00:00,Data Science,Exit Interview,My mentor was extremely supportive. The Data Science team provided excellent guidance throughout the program.,positive,0.93,4.2,enthusiastic,15,109,0,0,Experienced,6 months,False,True
FB_00121,2024-12-13 00:00:00,UX Design,Weekly Check-in,This internship exceeded my expectations. The learning opportunities was particularly valuable for my career development.,positive,0.78,4.1,inspired,15,121,0,0,First Internship,8 weeks,False,True
FB_00122,2024-07-15 00:00:00,Business Analytics,Email Feedback,The internship was acceptable. I worked on data analysis projects and gained experience in data visualization.,neutral,0.59,3.3,balanced,16,110,0,0,Experienced,8 weeks,False,True
FB_00123,2024-02-28 00:00:00,Marketing,Weekly Check-in,The internship experience was impressive. I really enjoyed working on software development and learned so much about technical writing.,positive,0.75,3.9,grateful,19,135,0,0,First Internship,12 weeks,False,True
FB_00124,2024-02-07 00:00:00,UX Design,Social Media,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive,0.7,4.3,grateful,15,115,0,0,Some Experience,12 weeks,True,True
FB_00125,2024-03-21 00:00:00,UX Design,End-of-Program Survey,The internship provided adequate learning opportunities. The mentor support was as expected.,neutral,0.54,3.9,balanced,12,92,0,0,Experienced,12 weeks,True,True
FB_00126,2024-10-09 00:00:00,Data Science,Mid-term Review,My experience was satisfactory. The Data Science program met the basic expectations.,neutral,0.59,2.4,objective,12,84,0,0,First Internship,8 weeks,False,False
FB_00127,2024-12-14 00:00:00,Research,Email Feedback,I would highly recommend this program to others. The project variety made it a wonderful experience.,positive,0.95,5.0,satisfied,16,100,0,0,Experienced,16 weeks,False,True
FB_00128,2024-03-23 00:00:00,Business Analytics,Email Feedback,My mentor was great teacher. The Business Analytics team provided excellent guidance throughout the program.,positive,0.73,3.7,grateful,15,108,0,0,Some Experience,12 weeks,False,True
FB_00129,2024-11-16 00:00:00,Business Analytics,Weekly Check-in,The internship provided adequate learning opportunities. The mentor support was as expected.,neutral,0.43,3.6,calm,12,92,0,0,Some Experience,8 weeks,False,False
FB_00130,2024-05-15 00:00:00,Business Analytics,Mid-term Review,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive,0.92,4.7,inspired,16,96,0,0,Experienced,12 weeks,True,True
FB_00131,2024-08-20 00:00:00,UX Design,Social Media,I would highly recommend this program to others. The project variety made it a wonderful experience.,positive,0.79,4.0,enthusiastic,16,100,0,0,First Internship,8 weeks,False,True
FB_00132,2024-09-20 00:00:00,UX Design,Exit Interview,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive,0.65,2.9,enthusiastic,15,115,0,0,Experienced,8 weeks,False,True
FB_00133,2024-06-16 00:00:00,UX Design,End-of-Program Survey,My mentor was excellent guide. The UX Design team provided excellent guidance throughout the program.,positive,0.61,4.4,grateful,15,101,0,0,Experienced,16 weeks,False,True
FB_00134,2024-08-22 00:00:00,Software Engineering,Exit Interview,I would not recommend this internship. The management style made it difficult to benefit fully.,negative,0.1,3.3,suggestive,15,95,0,0,First Internship,12 weeks,False,False
FB_00135,2024-07-06 00:00:00,Data Science,End-of-Program Survey,The company culture is dynamic and exciting. I felt supported and valued during my time here.,positive,0.82,4.3,enthusiastic,16,93,0,0,Some Experience,16 weeks,False,True
FB_00136,2024-11-15 00:00:00,Data Science,Social Media,This internship exceeded my expectations. The project variety was particularly valuable for my career development.,positive,0.58,5.0,enthusiastic,15,114,0,0,Experienced,8 weeks,False,True
FB_00137,2024-01-24 00:00:00,Data Science,Exit Interview,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive,0.8,5.0,excited,15,113,0,0,First Internship,12 weeks,True,True
FB_00138,2024-06-02 00:00:00,UX Design,Social Media,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive,0.87,4.0,inspired,16,101,0,0,Experienced,16 weeks,False,True
