intern_id,year,month,month_start,tasks_completed,tasks_assigned,completion_rate,avg_completion_time_days,avg_quality_score,mentor_feedback_score,initiatives_taken,learning_assessment_score,collaboration_score,monthly_performance_score,performance_tier,department,mentor
INT_0004,2024,1,2024-01-01,11,12,85.7,1.7,6.7,8.2,3,100.0,7.7,442.8,High,Data Science,Dr. Smith
INT_0004,2024,2,2024-02-01,7,8,79.8,3.5,6.8,9.1,3,71.4,7.6,452.8,High,Data Science,Dr. Smith
INT_0004,2024,3,2024-03-01,9,9,96.0,3.1,8.2,8.2,3,74.1,8.3,481.4,High,Data Science,Dr. Smith
INT_0004,2024,4,2024-04-01,12,15,75.5,5.6,8.5,8.6,4,62.1,8.7,494.7,High,Data Science,Dr. Smith
INT_0004,2024,5,2024-05-01,8,9,86.0,2.5,7.6,8.3,5,78.3,7.5,458.8,High,Data Science,Dr. Smith
INT_0004,2024,6,2024-06-01,8,8,94.8,2.8,8.0,9.0,1,58.2,8.4,494.3,High,Data Science,Dr. Smith
INT_0005,2024,1,2024-01-01,6,8,69.7,7.7,6.0,7.2,0,59.7,7.8,391.0,Medium,Business Analytics,Dr. Smith
INT_0005,2024,2,2024-02-01,10,13,71.9,5.1,5.1,7.6,1,72.9,9.2,394.8,Medium,Business Analytics,Dr. Smith
INT_0005,2024,3,2024-03-01,5,9,54.7,4.0,6.5,7.2,0,55.2,6.5,389.3,Medium,Business Analytics,Dr. Smith
INT_0005,2024,4,2024-04-01,9,14,63.5,4.3,4.6,6.6,1,11.5,3.6,304.8,Medium,Business Analytics,Dr. Smith
INT_0005,2024,5,2024-05-01,8,8,90.8,4.0,8.2,7.2,2,47.0,5.3,429.5,Medium,Business Analytics,Dr. Smith
INT_0005,2024,6,2024-06-01,4,4,84.8,7.1,5.9,7.3,2,69.9,6.4,381.1,Medium,Business Analytics,Dr. Smith
INT_0006,2024,1,2024-01-01,10,11,85.8,1.7,9.0,8.1,3,51.7,7.6,495.8,High,Business Analytics,Prof. Brown
INT_0006,2024,2,2024-02-01,10,11,86.5,3.4,10.0,8.5,2,78.0,9.1,537.2,High,Business Analytics,Prof. Brown
INT_0006,2024,3,2024-03-01,12,15,78.1,5.3,9.0,8.2,1,37.5,10.0,512.7,High,Business Analytics,Prof. Brown
INT_0006,2024,4,2024-04-01,11,12,85.5,3.0,7.3,8.0,2,54.0,9.7,467.3,High,Business Analytics,Prof. Brown
INT_0006,2024,5,2024-05-01,10,14,69.4,3.3,8.8,6.9,2,80.6,9.2,474.6,High,Business Analytics,Prof. Brown
INT_0006,2024,6,2024-06-01,10,10,100.0,3.0,8.8,8.6,1,73.5,8.9,513.1,High,Business Analytics,Prof. Brown
INT_0007,2024,1,2024-01-01,7,8,84.9,5.2,6.2,6.5,0,54.0,5.4,363.5,Medium,Marketing,Dr. Smith
INT_0007,2024,2,2024-02-01,7,10,69.7,3.6,6.1,6.3,2,56.5,8.6,385.9,Medium,Marketing,Dr. Smith
INT_0007,2024,3,2024-03-01,10,15,63.4,3.4,7.0,7.9,0,74.4,7.5,431.5,Medium,Marketing,Dr. Smith
INT_0007,2024,4,2024-04-01,9,11,81.7,5.3,5.2,7.3,1,47.0,5.2,352.8,Medium,Marketing,Dr. Smith
INT_0007,2024,5,2024-05-01,7,9,77.2,4.4,8.2,6.7,1,64.5,7.4,437.1,Medium,Marketing,Dr. Smith
INT_0007,2024,6,2024-06-01,6,11,51.3,4.9,6.4,8.2,2,72.6,4.5,385.2,Medium,Marketing,Dr. Smith
INT_0008,2024,1,2024-01-01,13,16,80.4,2.4,8.5,7.7,5,79.5,8.8,481.9,High,UX Design,Dr. Williams
INT_0008,2024,2,2024-02-01,11,17,61.4,2.0,8.6,10.0,4,75.3,7.3,513.6,High,UX Design,Dr. Williams
INT_0008,2024,3,2024-03-01,14,18,74.3,3.0,9.4,8.4,4,81.8,6.9,498.6,High,UX Design,Dr. Williams
INT_0008,2024,4,2024-04-01,11,15,71.5,3.1,9.9,7.7,3,64.8,8.5,511.9,High,UX Design,Dr. Williams
INT_0008,2024,5,2024-05-01,7,7,94.5,4.7,7.9,8.4,5,76.1,9.2,484.2,High,UX Design,Dr. Williams
INT_0008,2024,6,2024-06-01,10,10,100.0,2.4,8.2,7.9,5,55.2,7.4,470.3,High,UX Design,Dr. Williams
INT_0009,2024,1,2024-01-01,13,13,94.0,1.9,8.1,7.8,3,64.2,7.8,470.4,Exceptional,Marketing,Dr. Smith
INT_0009,2024,2,2024-02-01,6,6,98.0,1.2,10.0,10.0,5,58.6,7.6,567.5,Exceptional,Marketing,Dr. Smith
INT_0009,2024,3,2024-03-01,9,10,84.1,1.8,8.7,10.0,5,83.4,7.7,527.6,Exceptional,Marketing,Dr. Smith
INT_0009,2024,4,2024-04-01,9,10,83.9,3.3,7.5,9.7,3,82.0,9.1,499.3,Exceptional,Marketing,Dr. Smith
INT_0009,2024,5,2024-05-01,4,4,91.6,2.1,9.0,9.2,2,91.9,8.9,530.2,Exceptional,Marketing,Dr. Smith
INT_0009,2024,6,2024-06-01,12,14,84.7,1.6,8.8,8.9,4,64.9,7.9,511.6,Exceptional,Marketing,Dr. Smith
INT_0010,2024,1,2024-01-01,8,12,61.8,6.7,6.5,7.0,1,53.4,6.2,383.1,Medium,Marketing,Dr. Williams
INT_0010,2024,2,2024-02-01,7,9,70.0,5.9,5.1,5.2,0,49.0,4.2,292.2,Medium,Marketing,Dr. Williams
INT_0010,2024,3,2024-03-01,8,13,60.0,6.1,6.0,6.8,0,40.1,2.2,325.8,Medium,Marketing,Dr. Williams
INT_0010,2024,4,2024-04-01,7,13,53.6,4.7,8.2,7.0,1,64.6,4.1,403.1,Medium,Marketing,Dr. Williams
INT_0010,2024,5,2024-05-01,7,10,68.2,7.1,4.3,8.2,1,31.5,5.6,347.6,Medium,Marketing,Dr. Williams
INT_0010,2024,6,2024-06-01,7,9,72.7,4.3,6.4,8.7,0,55.1,5.5,411.8,Medium,Marketing,Dr. Williams
INT_0011,2024,1,2024-01-01,7,8,83.1,3.9,7.9,9.7,3,53.2,8.0,496.7,High,Data Science,Prof. Miller
INT_0011,2024,2,2024-02-01,6,7,78.2,4.2,7.0,8.1,4,81.9,8.8,450.2,High,Data Science,Prof. Miller
INT_0011,2024,3,2024-03-01,9,9,100.0,3.2,8.5,9.0,1,81.3,8.8,512.7,High,Data Science,Prof. Miller
INT_0011,2024,4,2024-04-01,9,9,95.6,3.6,8.7,7.4,1,93.2,8.3,477.3,High,Data Science,Prof. Miller
INT_0011,2024,5,2024-05-01,11,11,95.4,1.2,7.1,7.3,5,65.2,7.9,443.2,High,Data Science,Prof. Miller
INT_0011,2024,6,2024-06-01,9,10,87.3,2.6,7.9,9.2,1,68.4,6.4,473.3,High,Data Science,Prof. Miller
INT_0012,2024,1,2024-01-01,6,10,56.2,5.5,7.2,6.8,0,89.1,4.0,374.5,Medium,UX Design,Dr. Smith
INT_0012,2024,2,2024-02-01,7,10,63.9,3.4,5.7,9.4,0,84.9,4.0,390.7,Medium,UX Design,Dr. Smith
INT_0012,2024,3,2024-03-01,7,8,79.8,6.4,5.3,7.0,2,45.8,4.1,336.4,Medium,UX Design,Dr. Smith
INT_0012,2024,4,2024-04-01,9,13,67.7,5.1,5.1,6.8,1,59.0,9.9,381.7,Medium,UX Design,Dr. Smith
INT_0012,2024,5,2024-05-01,4,5,79.0,6.9,7.2,6.1,0,56.0,6.0,383.1,Medium,UX Design,Dr. Smith
INT_0012,2024,6,2024-06-01,8,11,72.0,5.5,8.2,7.9,0,63.8,7.4,457.9,Medium,UX Design,Dr. Smith
INT_0013,2024,1,2024-01-01,5,6,75.5,5.9,5.8,7.5,0,65.2,5.2,368.6,Medium,Business Analytics,Dr. Williams
INT_0013,2024,2,2024-02-01,8,9,84.3,6.6,5.2,7.5,2,86.6,6.6,369.5,Medium,Business Analytics,Dr. Williams
INT_0013,2024,3,2024-03-01,10,11,86.9,5.8,5.6,8.6,2,49.4,5.5,392.4,Medium,Business Analytics,Dr. Williams
INT_0013,2024,4,2024-04-01,7,12,54.5,4.3,6.2,6.8,1,55.2,5.9,368.7,Medium,Business Analytics,Dr. Williams
INT_0013,2024,5,2024-05-01,4,5,69.2,3.8,7.4,6.6,2,57.7,5.0,389.7,Medium,Business Analytics,Dr. Williams
INT_0013,2024,6,2024-06-01,7,13,53.0,3.6,8.1,6.8,2,55.1,5.6,411.5,Medium,Business Analytics,Dr. Williams
INT_0014,2024,1,2024-01-01,5,6,76.8,5.6,6.2,6.3,0,42.3,6.8,372.2,Medium,Data Science,Dr. Smith
INT_0014,2024,2,2024-02-01,8,11,71.4,1.8,7.3,7.2,1,70.2,10.0,454.1,Medium,Data Science,Dr. Smith
INT_0014,2024,3,2024-03-01,8,11,68.8,5.3,8.1,7.8,1,77.4,5.3,431.9,Medium,Data Science,Dr. Smith
INT_0014,2024,4,2024-04-01,6,9,64.7,3.4,7.7,6.8,2,67.1,5.1,402.4,Medium,Data Science,Dr. Smith
INT_0014,2024,5,2024-05-01,9,12,70.7,4.7,5.5,7.1,0,65.2,4.1,343.3,Medium,Data Science,Dr. Smith
INT_0014,2024,6,2024-06-01,4,6,63.4,5.7,5.5,7.0,2,68.9,5.5,353.1,Medium,Data Science,Dr. Smith
INT_0015,2024,1,2024-01-01,11,17,61.4,6.9,5.2,4.5,0,52.1,6.5,303.9,Low,Marketing,Dr. Smith
INT_0015,2024,2,2024-02-01,9,14,62.9,9.7,6.6,6.4,2,45.4,6.5,376.6,Low,Marketing,Dr. Smith
INT_0015,2024,3,2024-03-01,8,11,67.3,9.7,2.9,5.4,1,47.9,6.6,265.6,Low,Marketing,Dr. Smith
INT_0015,2024,4,2024-04-01,5,8,62.5,5.1,4.5,6.3,2,70.3,7.5,332.3,Low,Marketing,Dr. Smith
INT_0015,2024,5,2024-05-01,8,11,72.2,10.6,4.0,5.0,2,44.5,7.2,292.8,Low,Marketing,Dr. Smith
INT_0015,2024,6,2024-06-01,5,6,71.8,9.9,5.0,7.8,1,26.6,7.6,377.1,Low,Marketing,Dr. Smith
INT_0016,2024,1,2024-01-01,11,11,100.0,2.1,7.6,8.7,5,84.7,7.8,476.5,High,Data Science,Prof. Brown
INT_0016,2024,2,2024-02-01,9,12,73.2,3.4,10.0,7.7,1,69.6,8.4,512.0,High,Data Science,Prof. Brown
INT_0016,2024,3,2024-03-01,11,13,83.6,2.5,7.7,8.8,5,76.2,7.4,471.4,High,Data Science,Prof. Brown
INT_0016,2024,4,2024-04-01,9,9,100.0,1.6,8.5,9.7,4,100.0,7.6,519.8,High,Data Science,Prof. Brown
INT_0016,2024,5,2024-05-01,11,13,84.0,5.3,8.9,9.0,3,55.9,6.7,493.3,High,Data Science,Prof. Brown
INT_0016,2024,6,2024-06-01,5,5,96.5,4.4,7.7,6.4,3,69.6,7.9,428.8,High,Data Science,Prof. Brown
INT_0017,2024,1,2024-01-01,8,11,71.3,3.3,7.9,8.9,5,67.0,9.2,492.5,High,Marketing,Prof. Johnson
INT_0017,2024,2,2024-02-01,10,10,99.5,3.9,6.9,9.6,1,79.7,8.7,482.0,High,Marketing,Prof. Johnson
INT_0017,2024,3,2024-03-01,13,17,72.8,3.1,6.7,7.9,5,61.2,9.2,443.6,High,Marketing,Prof. Johnson
INT_0017,2024,4,2024-04-01,11,12,89.2,3.3,7.7,8.8,2,73.1,8.5,480.4,High,Marketing,Prof. Johnson
INT_0017,2024,5,2024-05-01,12,14,84.2,1.9,7.6,8.6,3,93.4,8.6,480.7,High,Marketing,Prof. Johnson
INT_0017,2024,6,2024-06-01,10,10,95.7,1.8,5.7,9.2,2,62.6,6.0,420.7,High,Marketing,Prof. Johnson
INT_0018,2024,1,2024-01-01,9,13,64.5,10.0,4.5,4.9,2,44.8,3.3,261.6,Low,Marketing,Prof. Miller
INT_0018,2024,2,2024-02-01,4,5,76.5,9.6,4.0,5.8,1,42.9,6.1,299.6,Low,Marketing,Prof. Miller
INT_0018,2024,3,2024-03-01,6,7,80.4,5.2,4.0,5.2,1,84.8,6.6,294.1,Low,Marketing,Prof. Miller
INT_0018,2024,4,2024-04-01,6,8,69.9,7.6,4.6,4.9,1,66.4,8.5,319.0,Low,Marketing,Prof. Miller
INT_0018,2024,5,2024-05-01,9,14,62.0,4.2,4.6,6.3,2,87.9,7.1,332.1,Low,Marketing,Prof. Miller
INT_0018,2024,6,2024-06-01,9,10,85.3,9.8,5.8,5.5,2,67.8,7.9,357.1,Low,Marketing,Prof. Miller
INT_0019,2024,1,2024-01-01,10,15,66.0,3.3,6.8,7.1,0,67.1,6.3,397.9,Medium,Data Science,Dr. Davis
INT_0019,2024,2,2024-02-01,5,8,60.2,5.3,6.4,6.5,1,50.4,7.0,380.5,Medium,Data Science,Dr. Davis
INT_0019,2024,3,2024-03-01,7,11,63.1,5.3,7.3,5.7,2,66.0,7.4,389.3,Medium,Data Science,Dr. Davis
INT_0019,2024,4,2024-04-01,6,10,54.6,4.8,6.1,7.1,2,52.7,3.0,340.9,Medium,Data Science,Dr. Davis
INT_0019,2024,5,2024-05-01,6,7,83.5,6.3,6.4,7.2,0,54.1,8.0,409.2,Medium,Data Science,Dr. Davis
INT_0019,2024,6,2024-06-01,8,9,80.7,6.9,6.4,6.7,2,58.9,6.5,381.7,Medium,Data Science,Dr. Davis
INT_0020,2024,1,2024-01-01,9,9,94.9,2.3,6.5,8.4,3,67.7,7.0,431.7,High,Software Engineering,Prof. Johnson
INT_0020,2024,2,2024-02-01,10,17,56.5,2.1,6.9,8.3,5,66.9,8.8,449.2,High,Software Engineering,Prof. Johnson
INT_0020,2024,3,2024-03-01,10,11,84.4,4.1,8.2,8.7,5,58.6,8.2,487.0,High,Software Engineering,Prof. Johnson
INT_0020,2024,4,2024-04-01,11,13,80.7,1.5,7.8,9.5,4,52.1,6.9,486.9,High,Software Engineering,Prof. Johnson
INT_0020,2024,5,2024-05-01,8,11,68.4,3.5,5.9,8.2,2,89.1,8.2,418.1,High,Software Engineering,Prof. Johnson
INT_0020,2024,6,2024-06-01,8,10,74.1,3.1,9.0,9.0,3,39.4,10.0,530.1,High,Software Engineering,Prof. Johnson
INT_0021,2024,1,2024-01-01,7,9,75.4,6.3,5.8,7.0,1,38.8,2.3,329.4,Medium,Business Analytics,Prof. Johnson
INT_0021,2024,2,2024-02-01,5,6,72.2,5.8,7.2,5.5,1,44.8,4.7,356.8,Medium,Business Analytics,Prof. Johnson
INT_0021,2024,3,2024-03-01,8,11,71.1,5.6,6.8,8.0,0,85.9,6.8,420.6,Medium,Business Analytics,Prof. Johnson
INT_0021,2024,4,2024-04-01,8,11,67.9,5.6,7.2,7.2,1,73.2,5.9,403.5,Medium,Business Analytics,Prof. Johnson
INT_0021,2024,5,2024-05-01,9,15,59.6,7.9,4.7,6.5,1,67.4,6.9,333.6,Medium,Business Analytics,Prof. Johnson
INT_0021,2024,6,2024-06-01,6,7,78.3,5.3,5.5,7.0,2,75.7,5.7,358.3,Medium,Business Analytics,Prof. Johnson
INT_0022,2024,1,2024-01-01,9,14,61.6,5.1,4.5,8.2,1,49.8,6.1,355.2,Medium,Data Science,Prof. Johnson
INT_0022,2024,2,2024-02-01,7,13,53.8,4.7,6.3,7.5,1,60.9,6.9,393.4,Medium,Data Science,Prof. Johnson
INT_0022,2024,3,2024-03-01,7,10,64.2,7.2,5.8,6.2,0,73.3,4.8,335.3,Medium,Data Science,Prof. Johnson
INT_0022,2024,4,2024-04-01,8,11,70.8,4.9,8.9,7.9,1,74.5,6.2,464.6,Medium,Data Science,Prof. Johnson
INT_0022,2024,5,2024-05-01,8,9,81.0,4.6,6.3,6.7,2,49.3,6.4,379.1,Medium,Data Science,Prof. Johnson
INT_0022,2024,6,2024-06-01,7,9,77.3,4.0,4.4,6.9,1,54.7,5.4,325.8,Medium,Data Science,Prof. Johnson
INT_0023,2024,1,2024-01-01,11,13,82.2,2.8,7.8,7.8,3,74.8,7.9,458.8,High,Marketing,Prof. Brown
INT_0023,2024,2,2024-02-01,7,8,84.2,1.3,8.2,8.5,1,77.2,7.5,485.2,High,Marketing,Prof. Brown
INT_0023,2024,3,2024-03-01,6,8,73.8,3.7,8.6,8.2,3,59.7,7.0,472.4,High,Marketing,Prof. Brown
INT_0023,2024,4,2024-04-01,9,10,87.4,1.7,7.9,9.4,1,42.1,9.5,512.9,High,Marketing,Prof. Brown
INT_0023,2024,5,2024-05-01,9,11,75.6,4.1,7.7,9.7,2,97.9,7.9,488.8,High,Marketing,Prof. Brown
INT_0023,2024,6,2024-06-01,11,15,72.3,4.0,8.5,7.9,2,72.9,9.6,489.4,High,Marketing,Prof. Brown
INT_0024,2024,1,2024-01-01,9,9,92.3,3.4,8.3,8.3,5,56.8,6.9,472.0,High,Business Analytics,Prof. Miller
INT_0024,2024,2,2024-02-01,10,12,77.9,1.2,7.3,7.4,5,100.0,7.9,445.4,High,Business Analytics,Prof. Miller
INT_0024,2024,3,2024-03-01,10,10,93.4,3.4,8.5,7.2,2,75.8,8.5,470.1,High,Business Analytics,Prof. Miller
INT_0024,2024,4,2024-04-01,9,11,75.0,3.5,9.8,7.5,3,47.2,7.9,497.4,High,Business Analytics,Prof. Miller
INT_0024,2024,5,2024-05-01,7,8,83.2,3.4,8.4,8.9,1,79.4,7.5,488.7,High,Business Analytics,Prof. Miller
INT_0024,2024,6,2024-06-01,11,12,84.9,2.4,6.4,9.2,3,81.4,7.0,444.0,High,Business Analytics,Prof. Miller
INT_0025,2024,1,2024-01-01,9,10,85.7,8.9,3.5,4.8,2,86.5,5.7,264.0,Low,UX Design,Prof. Brown
INT_0025,2024,2,2024-02-01,8,15,52.5,6.9,4.7,5.7,1,83.9,4.8,297.2,Low,UX Design,Prof. Brown
INT_0025,2024,3,2024-03-01,7,12,55.0,10.7,4.7,5.1,2,91.8,4.1,276.6,Low,UX Design,Prof. Brown
INT_0025,2024,4,2024-04-01,9,17,51.1,8.6,3.8,5.2,1,70.7,6.1,275.4,Low,UX Design,Prof. Brown
INT_0025,2024,5,2024-05-01,7,8,81.8,8.7,4.9,5.0,2,47.3,4.7,293.9,Low,UX Design,Prof. Brown
INT_0025,2024,6,2024-06-01,8,9,85.2,8.8,4.6,5.1,2,56.6,8.5,325.8,Low,UX Design,Prof. Brown
INT_0026,2024,1,2024-01-01,11,14,74.5,1.0,7.8,8.4,1,77.0,8.7,488.0,High,UX Design,Prof. Johnson
INT_0026,2024,2,2024-02-01,8,8,89.1,2.8,8.6,8.4,5,53.2,8.1,495.0,High,UX Design,Prof. Johnson
INT_0026,2024,3,2024-03-01,8,13,57.6,4.2,9.5,8.1,4,71.2,7.2,491.3,High,UX Design,Prof. Johnson
INT_0026,2024,4,2024-04-01,8,8,89.8,4.7,7.9,8.8,1,89.3,7.2,471.4,High,UX Design,Prof. Johnson
INT_0026,2024,5,2024-05-01,12,15,78.3,2.9,7.1,8.5,5,52.8,7.5,448.5,High,UX Design,Prof. Johnson
INT_0026,2024,6,2024-06-01,11,12,88.0,2.2,9.9,8.6,1,59.5,8.9,538.4,High,UX Design,Prof. Johnson
INT_0027,2024,1,2024-01-01,7,7,98.9,1.6,7.8,7.7,3,83.6,7.7,462.0,High,Business Analytics,Dr. Davis
INT_0027,2024,2,2024-02-01,9,9,90.9,2.9,9.9,7.1,5,76.4,6.4,484.0,High,Business Analytics,Dr. Davis
INT_0027,2024,3,2024-03-01,12,15,79.0,1.3,7.9,8.5,1,77.4,9.4,496.3,High,Business Analytics,Dr. Davis
INT_0027,2024,4,2024-04-01,10,11,88.6,2.1,9.3,7.7,2,50.7,8.4,501.6,High,Business Analytics,Dr. Davis
INT_0027,2024,5,2024-05-01,10,12,82.7,2.1,8.8,7.0,1,84.7,6.9,459.1,High,Business Analytics,Dr. Davis
INT_0027,2024,6,2024-06-01,11,13,83.8,3.6,7.6,10.0,1,62.8,10.0,515.4,High,Business Analytics,Dr. Davis
INT_0028,2024,1,2024-01-01,7,8,78.7,2.1,7.5,8.3,5,87.6,7.7,459.1,High,UX Design,Dr. Davis
INT_0028,2024,2,2024-02-01,8,11,70.7,3.1,8.9,7.1,1,87.3,8.8,476.8,High,UX Design,Dr. Davis
INT_0028,2024,3,2024-03-01,9,9,90.8,1.5,8.2,8.9,5,100.0,7.2,490.3,High,UX Design,Dr. Davis
INT_0028,2024,4,2024-04-01,11,14,77.7,4.0,6.7,8.9,4,61.9,7.8,448.4,High,UX Design,Dr. Davis
INT_0028,2024,5,2024-05-01,8,8,92.2,3.4,7.8,7.8,1,76.4,6.4,444.6,High,UX Design,Dr. Davis
INT_0028,2024,6,2024-06-01,12,12,95.8,1.9,7.3,9.3,1,34.3,7.9,481.3,High,UX Design,Dr. Davis
INT_0029,2024,1,2024-01-01,10,12,77.4,3.4,7.8,7.7,2,95.0,8.9,464.2,High,Software Engineering,Dr. Davis
INT_0029,2024,2,2024-02-01,10,11,86.1,3.2,8.9,9.3,1,66.1,7.4,510.9,High,Software Engineering,Dr. Davis
INT_0029,2024,3,2024-03-01,9,11,81.1,4.3,7.5,7.4,5,67.2,8.6,446.2,High,Software Engineering,Dr. Davis
INT_0029,2024,4,2024-04-01,11,11,96.2,2.5,8.7,9.6,2,100.0,7.8,519.0,High,Software Engineering,Dr. Davis
INT_0029,2024,5,2024-05-01,12,14,84.2,3.3,7.6,8.6,3,81.6,7.9,468.1,High,Software Engineering,Dr. Davis
INT_0029,2024,6,2024-06-01,8,11,69.9,2.0,6.8,9.3,1,64.5,8.1,465.1,High,Software Engineering,Dr. Davis
INT_0030,2024,1,2024-01-01,12,13,86.1,2.1,9.0,9.0,2,59.6,8.4,519.5,High,Data Science,Dr. Smith
INT_0030,2024,2,2024-02-01,11,13,79.8,2.0,8.3,6.4,2,48.7,7.8,442.5,High,Data Science,Dr. Smith
INT_0030,2024,3,2024-03-01,9,12,69.6,4.6,8.1,9.6,3,71.1,7.1,488.4,High,Data Science,Dr. Smith
INT_0030,2024,4,2024-04-01,10,11,88.7,3.0,7.3,6.9,3,80.6,9.5,444.3,High,Data Science,Dr. Smith
INT_0030,2024,5,2024-05-01,4,5,77.8,2.1,6.7,8.3,3,80.8,8.7,451.3,High,Data Science,Dr. Smith
INT_0030,2024,6,2024-06-01,8,11,67.4,2.3,8.5,7.9,2,71.4,8.5,480.8,High,Data Science,Dr. Smith
INT_0031,2024,1,2024-01-01,5,6,80.0,2.6,8.2,9.3,2,59.3,9.8,516.8,Exceptional,UX Design,Dr. Davis
INT_0031,2024,2,2024-02-01,11,14,77.3,1.9,9.4,7.9,3,39.2,8.3,506.6,Exceptional,UX Design,Dr. Davis
INT_0031,2024,3,2024-03-01,12,12,100.0,2.8,8.7,10.0,4,60.8,7.1,521.1,Exceptional,UX Design,Dr. Davis
INT_0031,2024,4,2024-04-01,8,8,100.0,2.2,9.1,9.9,1,100.0,7.0,529.0,Exceptional,UX Design,Dr. Davis
INT_0031,2024,5,2024-05-01,6,6,86.9,2.0,8.3,9.3,3,77.7,7.2,497.4,Exceptional,UX Design,Dr. Davis
INT_0031,2024,6,2024-06-01,8,12,63.9,2.7,8.3,10.0,2,91.0,6.7,498.4,Exceptional,UX Design,Dr. Davis
INT_0032,2024,1,2024-01-01,10,19,51.6,6.3,6.1,7.6,1,33.4,7.8,398.2,Medium,Business Analytics,Prof. Brown
INT_0032,2024,2,2024-02-01,12,17,69.8,4.9,7.1,7.8,2,78.9,7.6,430.2,Medium,Business Analytics,Prof. Brown
INT_0032,2024,3,2024-03-01,10,18,54.3,3.6,4.2,6.4,1,75.3,5.4,305.8,Medium,Business Analytics,Prof. Brown
INT_0032,2024,4,2024-04-01,12,15,75.6,4.8,6.8,8.0,0,44.4,5.0,404.3,Medium,Business Analytics,Prof. Brown
INT_0032,2024,5,2024-05-01,4,5,70.2,5.9,6.7,8.0,2,58.5,5.7,406.5,Medium,Business Analytics,Prof. Brown
INT_0032,2024,6,2024-06-01,6,7,76.9,6.1,5.6,7.5,2,52.3,2.9,342.6,Medium,Business Analytics,Prof. Brown
INT_0033,2024,1,2024-01-01,6,8,73.1,4.5,7.2,6.3,0,60.9,7.0,398.9,Medium,Data Science,Prof. Miller
INT_0033,2024,2,2024-02-01,10,10,93.7,4.4,5.2,6.7,1,60.3,6.8,360.1,Medium,Data Science,Prof. Miller
INT_0033,2024,3,2024-03-01,6,7,80.6,6.5,7.2,8.5,1,58.3,7.0,442.6,Medium,Data Science,Prof. Miller
INT_0033,2024,4,2024-04-01,10,11,89.7,4.9,7.7,6.2,1,81.5,7.6,419.0,Medium,Data Science,Prof. Miller
INT_0033,2024,5,2024-05-01,8,10,74.7,6.1,7.7,7.3,2,32.5,5.3,413.4,Medium,Data Science,Prof. Miller
INT_0033,2024,6,2024-06-01,11,17,62.4,6.0,7.6,6.6,1,80.8,7.1,410.5,Medium,Data Science,Prof. Miller
INT_0034,2024,1,2024-01-01,6,6,86.7,4.4,7.2,5.5,1,83.6,7.6,391.9,Medium,Business Analytics,Dr. Williams
