feedback_id,intern_id,year,month,feedback_category,score,mentor,comments
INT_0003_M4_Tec,INT_0003,2024,4,Technical Skills,6.7,Dr. Smith,"Developing technical skills skills, needs more practice"
INT_0003_M4_Com,INT_0003,2024,4,Communication,7.1,Dr. Smith,"Strong communication, meets all expectations"
INT_0003_M4_Pro,INT_0003,2024,4,Problem Solving,8.0,Dr. Smith,"Solid problem solving skills, continues to improve"
INT_0003_M4_Tea,INT_0003,2024,4,Teamwork,7.4,Dr. Smith,"Solid teamwork skills, continues to improve"
INT_0003_M4_Ini,INT_0003,2024,4,Initiative,6.8,Dr. Smith,"Developing initiative skills, needs more practice"
INT_0003_M5_Tec,INT_0003,2024,5,Technical Skills,5.0,Dr. Smith,"Average performance in technical skills, working on improvements"
INT_0003_M5_Com,INT_0003,2024,5,Communication,5.9,Dr. Smith,"Developing communication skills, needs more practice"
INT_0003_M5_Pro,INT_0003,2024,5,Problem Solving,6.2,Dr. Smith,"Developing problem solving skills, needs more practice"
INT_0003_M5_Tea,INT_0003,2024,5,Teamwork,5.7,Dr. Smith,"Adequate teamwork, has room for improvement"
INT_0003_M5_Ini,INT_0003,2024,5,Initiative,6.4,Dr. Smith,"Adequate initiative, has room for improvement"
INT_0003_M6_Tec,INT_0003,2024,6,Technical Skills,8.3,Dr. Smith,"Good performance in technical skills, reliable and consistent"
INT_0003_M6_Com,INT_0003,2024,6,Communication,7.4,Dr. Smith,"Good performance in communication, reliable and consistent"
INT_0003_M6_Pro,INT_0003,2024,6,Problem Solving,7.3,Dr. Smith,"Good performance in problem solving, reliable and consistent"
INT_0003_M6_Tea,INT_0003,2024,6,Teamwork,7.0,Dr. Smith,"Solid teamwork skills, continues to improve"
INT_0003_M6_Ini,INT_0003,2024,6,Initiative,6.7,Dr. Smith,"Average performance in initiative, working on improvements"
INT_0004_M1_Tec,INT_0004,2024,1,Technical Skills,7.7,Dr. Smith,"Good performance in technical skills, reliable and consistent"
INT_0004_M1_Com,INT_0004,2024,1,Communication,9.1,Dr. Smith,"Outstanding performance in communication, great initiative"
INT_0004_M1_Pro,INT_0004,2024,1,Problem Solving,8.7,Dr. Smith,"Solid problem solving skills, continues to improve"
INT_0004_M1_Tea,INT_0004,2024,1,Teamwork,8.9,Dr. Smith,"Solid teamwork skills, continues to improve"
INT_0004_M1_Ini,INT_0004,2024,1,Initiative,8.6,Dr. Smith,"Good performance in initiative, reliable and consistent"
INT_0004_M2_Tec,INT_0004,2024,2,Technical Skills,9.9,Dr. Smith,"Outstanding performance in technical skills, great initiative"
INT_0004_M2_Com,INT_0004,2024,2,Communication,9.2,Dr. Smith,"Excellent communication, demonstrates advanced skills"
INT_0004_M2_Pro,INT_0004,2024,2,Problem Solving,9.0,Dr. Smith,"Excellent problem solving, demonstrates advanced skills"
INT_0004_M2_Tea,INT_0004,2024,2,Teamwork,8.8,Dr. Smith,"Solid teamwork skills, continues to improve"
INT_0004_M2_Ini,INT_0004,2024,2,Initiative,9.3,Dr. Smith,"Excellent initiative, demonstrates advanced skills"
INT_0004_M3_Tec,INT_0004,2024,3,Technical Skills,7.9,Dr. Smith,"Strong technical skills, meets all expectations"
INT_0004_M3_Com,INT_0004,2024,3,Communication,7.5,Dr. Smith,"Solid communication skills, continues to improve"
INT_0004_M3_Pro,INT_0004,2024,3,Problem Solving,7.7,Dr. Smith,"Good performance in problem solving, reliable and consistent"
INT_0004_M3_Tea,INT_0004,2024,3,Teamwork,7.5,Dr. Smith,"Good performance in teamwork, reliable and consistent"
INT_0004_M3_Ini,INT_0004,2024,3,Initiative,7.7,Dr. Smith,"Good performance in initiative, reliable and consistent"
INT_0004_M4_Tec,INT_0004,2024,4,Technical Skills,8.6,Dr. Smith,"Solid technical skills skills, continues to improve"
INT_0004_M4_Com,INT_0004,2024,4,Communication,9.0,Dr. Smith,"Good performance in communication, reliable and consistent"
INT_0004_M4_Pro,INT_0004,2024,4,Problem Solving,8.7,Dr. Smith,"Good performance in problem solving, reliable and consistent"
INT_0004_M4_Tea,INT_0004,2024,4,Teamwork,8.7,Dr. Smith,"Good performance in teamwork, reliable and consistent"
INT_0004_M4_Ini,INT_0004,2024,4,Initiative,9.1,Dr. Smith,"Outstanding performance in initiative, great initiative"
INT_0004_M5_Tec,INT_0004,2024,5,Technical Skills,7.8,Dr. Smith,"Good performance in technical skills, reliable and consistent"
INT_0004_M5_Com,INT_0004,2024,5,Communication,7.9,Dr. Smith,"Solid communication skills, continues to improve"
INT_0004_M5_Pro,INT_0004,2024,5,Problem Solving,8.2,Dr. Smith,"Solid problem solving skills, continues to improve"
INT_0004_M5_Tea,INT_0004,2024,5,Teamwork,8.4,Dr. Smith,"Good performance in teamwork, reliable and consistent"
INT_0004_M5_Ini,INT_0004,2024,5,Initiative,9.0,Dr. Smith,"Outstanding performance in initiative, great initiative"
INT_0004_M6_Tec,INT_0004,2024,6,Technical Skills,9.4,Dr. Smith,"Exceptional technical skills, consistently exceeds expectations"
INT_0004_M6_Com,INT_0004,2024,6,Communication,10.0,Dr. Smith,"Outstanding performance in communication, great initiative"
INT_0004_M6_Pro,INT_0004,2024,6,Problem Solving,9.0,Dr. Smith,"Strong problem solving, meets all expectations"
INT_0004_M6_Tea,INT_0004,2024,6,Teamwork,8.6,Dr. Smith,"Strong teamwork, meets all expectations"
INT_0004_M6_Ini,INT_0004,2024,6,Initiative,8.4,Dr. Smith,"Strong initiative, meets all expectations"
INT_0005_M1_Tec,INT_0005,2024,1,Technical Skills,7.8,Dr. Smith,"Good performance in technical skills, reliable and consistent"
INT_0005_M1_Com,INT_0005,2024,1,Communication,6.8,Dr. Smith,"Developing communication skills, needs more practice"
INT_0005_M1_Pro,INT_0005,2024,1,Problem Solving,7.4,Dr. Smith,"Strong problem solving, meets all expectations"
INT_0005_M1_Tea,INT_0005,2024,1,Teamwork,7.0,Dr. Smith,"Average performance in teamwork, working on improvements"
INT_0005_M1_Ini,INT_0005,2024,1,Initiative,7.2,Dr. Smith,"Strong initiative, meets all expectations"
INT_0005_M2_Tec,INT_0005,2024,2,Technical Skills,7.0,Dr. Smith,"Adequate technical skills, has room for improvement"
INT_0005_M2_Com,INT_0005,2024,2,Communication,8.0,Dr. Smith,"Solid communication skills, continues to improve"
INT_0005_M2_Pro,INT_0005,2024,2,Problem Solving,7.9,Dr. Smith,"Good performance in problem solving, reliable and consistent"
INT_0005_M2_Tea,INT_0005,2024,2,Teamwork,7.5,Dr. Smith,"Solid teamwork skills, continues to improve"
INT_0005_M2_Ini,INT_0005,2024,2,Initiative,8.5,Dr. Smith,"Good performance in initiative, reliable and consistent"
INT_0005_M3_Tec,INT_0005,2024,3,Technical Skills,8.1,Dr. Smith,"Good performance in technical skills, reliable and consistent"
INT_0005_M3_Com,INT_0005,2024,3,Communication,7.2,Dr. Smith,"Solid communication skills, continues to improve"
INT_0005_M3_Pro,INT_0005,2024,3,Problem Solving,6.5,Dr. Smith,"Adequate problem solving, has room for improvement"
INT_0005_M3_Tea,INT_0005,2024,3,Teamwork,7.3,Dr. Smith,"Good performance in teamwork, reliable and consistent"
INT_0005_M3_Ini,INT_0005,2024,3,Initiative,6.9,Dr. Smith,"Adequate initiative, has room for improvement"
INT_0005_M4_Tec,INT_0005,2024,4,Technical Skills,7.1,Dr. Smith,"Good performance in technical skills, reliable and consistent"
INT_0005_M4_Com,INT_0005,2024,4,Communication,7.0,Dr. Smith,"Average performance in communication, working on improvements"
INT_0005_M4_Pro,INT_0005,2024,4,Problem Solving,7.2,Dr. Smith,"Strong problem solving, meets all expectations"
INT_0005_M4_Tea,INT_0005,2024,4,Teamwork,6.4,Dr. Smith,"Developing teamwork skills, needs more practice"
INT_0005_M4_Ini,INT_0005,2024,4,Initiative,7.3,Dr. Smith,"Good performance in initiative, reliable and consistent"
INT_0005_M5_Tec,INT_0005,2024,5,Technical Skills,7.7,Dr. Smith,"Strong technical skills, meets all expectations"
INT_0005_M5_Com,INT_0005,2024,5,Communication,7.1,Dr. Smith,"Good performance in communication, reliable and consistent"
INT_0005_M5_Pro,INT_0005,2024,5,Problem Solving,7.1,Dr. Smith,"Solid problem solving skills, continues to improve"
INT_0005_M5_Tea,INT_0005,2024,5,Teamwork,7.6,Dr. Smith,"Good performance in teamwork, reliable and consistent"
INT_0005_M5_Ini,INT_0005,2024,5,Initiative,7.5,Dr. Smith,"Solid initiative skills, continues to improve"
INT_0005_M6_Tec,INT_0005,2024,6,Technical Skills,6.7,Dr. Smith,"Average performance in technical skills, working on improvements"
INT_0005_M6_Com,INT_0005,2024,6,Communication,7.9,Dr. Smith,"Solid communication skills, continues to improve"
INT_0005_M6_Pro,INT_0005,2024,6,Problem Solving,7.1,Dr. Smith,"Solid problem solving skills, continues to improve"
INT_0005_M6_Tea,INT_0005,2024,6,Teamwork,7.5,Dr. Smith,"Strong teamwork, meets all expectations"
INT_0005_M6_Ini,INT_0005,2024,6,Initiative,7.3,Dr. Smith,"Strong initiative, meets all expectations"
INT_0006_M1_Tec,INT_0006,2024,1,Technical Skills,7.8,Prof. Brown,"Good performance in technical skills, reliable and consistent"
INT_0006_M1_Com,INT_0006,2024,1,Communication,9.1,Prof. Brown,"Outstanding performance in communication, great initiative"
INT_0006_M1_Pro,INT_0006,2024,1,Problem Solving,8.0,Prof. Brown,"Good performance in problem solving, reliable and consistent"
INT_0006_M1_Tea,INT_0006,2024,1,Teamwork,8.2,Prof. Brown,"Strong teamwork, meets all expectations"
INT_0006_M1_Ini,INT_0006,2024,1,Initiative,8.5,Prof. Brown,"Solid initiative skills, continues to improve"
INT_0006_M2_Tec,INT_0006,2024,2,Technical Skills,8.0,Prof. Brown,"Strong technical skills, meets all expectations"
INT_0006_M2_Com,INT_0006,2024,2,Communication,7.4,Prof. Brown,"Good performance in communication, reliable and consistent"
INT_0006_M2_Pro,INT_0006,2024,2,Problem Solving,8.1,Prof. Brown,"Strong problem solving, meets all expectations"
INT_0006_M2_Tea,INT_0006,2024,2,Teamwork,7.8,Prof. Brown,"Solid teamwork skills, continues to improve"
INT_0006_M2_Ini,INT_0006,2024,2,Initiative,9.3,Prof. Brown,"Outstanding performance in initiative, great initiative"
INT_0006_M3_Tec,INT_0006,2024,3,Technical Skills,8.4,Prof. Brown,"Strong technical skills, meets all expectations"
INT_0006_M3_Com,INT_0006,2024,3,Communication,8.9,Prof. Brown,"Strong communication, meets all expectations"
INT_0006_M3_Pro,INT_0006,2024,3,Problem Solving,8.3,Prof. Brown,"Solid problem solving skills, continues to improve"
INT_0006_M3_Tea,INT_0006,2024,3,Teamwork,8.0,Prof. Brown,"Solid teamwork skills, continues to improve"
INT_0006_M3_Ini,INT_0006,2024,3,Initiative,8.3,Prof. Brown,"Good performance in initiative, reliable and consistent"
INT_0006_M4_Tec,INT_0006,2024,4,Technical Skills,7.5,Prof. Brown,"Strong technical skills, meets all expectations"
INT_0006_M4_Com,INT_0006,2024,4,Communication,7.6,Prof. Brown,"Solid communication skills, continues to improve"
INT_0006_M4_Pro,INT_0006,2024,4,Problem Solving,7.4,Prof. Brown,"Good performance in problem solving, reliable and consistent"
INT_0006_M4_Tea,INT_0006,2024,4,Teamwork,8.0,Prof. Brown,"Solid teamwork skills, continues to improve"
INT_0006_M4_Ini,INT_0006,2024,4,Initiative,7.6,Prof. Brown,"Solid initiative skills, continues to improve"
INT_0006_M5_Tec,INT_0006,2024,5,Technical Skills,6.2,Prof. Brown,"Developing technical skills skills, needs more practice"
INT_0006_M5_Com,INT_0006,2024,5,Communication,6.0,Prof. Brown,"Developing communication skills, needs more practice"
INT_0006_M5_Pro,INT_0006,2024,5,Problem Solving,7.2,Prof. Brown,"Strong problem solving, meets all expectations"
INT_0006_M5_Tea,INT_0006,2024,5,Teamwork,6.4,Prof. Brown,"Developing teamwork skills, needs more practice"
INT_0006_M5_Ini,INT_0006,2024,5,Initiative,5.8,Prof. Brown,"Developing initiative skills, needs more practice"
INT_0006_M6_Tec,INT_0006,2024,6,Technical Skills,8.5,Prof. Brown,"Strong technical skills, meets all expectations"
INT_0006_M6_Com,INT_0006,2024,6,Communication,8.0,Prof. Brown,"Solid communication skills, continues to improve"
INT_0006_M6_Pro,INT_0006,2024,6,Problem Solving,8.9,Prof. Brown,"Good performance in problem solving, reliable and consistent"
INT_0006_M6_Tea,INT_0006,2024,6,Teamwork,9.3,Prof. Brown,"Exceptional teamwork, consistently exceeds expectations"
INT_0006_M6_Ini,INT_0006,2024,6,Initiative,9.2,Prof. Brown,"Excellent initiative, demonstrates advanced skills"
INT_0007_M1_Tec,INT_0007,2024,1,Technical Skills,6.5,Dr. Smith,"Average performance in technical skills, working on improvements"
INT_0007_M1_Com,INT_0007,2024,1,Communication,6.8,Dr. Smith,"Adequate communication, has room for improvement"
INT_0007_M1_Pro,INT_0007,2024,1,Problem Solving,6.6,Dr. Smith,"Adequate problem solving, has room for improvement"
INT_0007_M1_Tea,INT_0007,2024,1,Teamwork,6.0,Dr. Smith,"Developing teamwork skills, needs more practice"
INT_0007_M1_Ini,INT_0007,2024,1,Initiative,7.1,Dr. Smith,"Good performance in initiative, reliable and consistent"
INT_0007_M2_Tec,INT_0007,2024,2,Technical Skills,6.4,Dr. Smith,"Developing technical skills skills, needs more practice"
INT_0007_M2_Com,INT_0007,2024,2,Communication,6.1,Dr. Smith,"Adequate communication, has room for improvement"
INT_0007_M2_Pro,INT_0007,2024,2,Problem Solving,6.4,Dr. Smith,"Developing problem solving skills, needs more practice"
INT_0007_M2_Tea,INT_0007,2024,2,Teamwork,5.6,Dr. Smith,"Adequate teamwork, has room for improvement"
INT_0007_M2_Ini,INT_0007,2024,2,Initiative,5.8,Dr. Smith,"Adequate initiative, has room for improvement"
INT_0007_M3_Tec,INT_0007,2024,3,Technical Skills,8.1,Dr. Smith,"Strong technical skills, meets all expectations"
INT_0007_M3_Com,INT_0007,2024,3,Communication,7.8,Dr. Smith,"Good performance in communication, reliable and consistent"
INT_0007_M3_Pro,INT_0007,2024,3,Problem Solving,8.8,Dr. Smith,"Strong problem solving, meets all expectations"
INT_0007_M3_Tea,INT_0007,2024,3,Teamwork,8.2,Dr. Smith,"Solid teamwork skills, continues to improve"
INT_0007_M3_Ini,INT_0007,2024,3,Initiative,8.3,Dr. Smith,"Solid initiative skills, continues to improve"
INT_0007_M4_Tec,INT_0007,2024,4,Technical Skills,6.9,Dr. Smith,"Developing technical skills skills, needs more practice"
INT_0007_M4_Com,INT_0007,2024,4,Communication,7.6,Dr. Smith,"Solid communication skills, continues to improve"
INT_0007_M4_Pro,INT_0007,2024,4,Problem Solving,7.3,Dr. Smith,"Solid problem solving skills, continues to improve"
INT_0007_M4_Tea,INT_0007,2024,4,Teamwork,7.5,Dr. Smith,"Solid teamwork skills, continues to improve"
INT_0007_M4_Ini,INT_0007,2024,4,Initiative,6.9,Dr. Smith,"Average performance in initiative, working on improvements"
INT_0007_M5_Tec,INT_0007,2024,5,Technical Skills,7.2,Dr. Smith,"Good performance in technical skills, reliable and consistent"
INT_0007_M5_Com,INT_0007,2024,5,Communication,6.7,Dr. Smith,"Adequate communication, has room for improvement"
INT_0007_M5_Pro,INT_0007,2024,5,Problem Solving,7.4,Dr. Smith,"Solid problem solving skills, continues to improve"
INT_0007_M5_Tea,INT_0007,2024,5,Teamwork,6.1,Dr. Smith,"Developing teamwork skills, needs more practice"
INT_0007_M5_Ini,INT_0007,2024,5,Initiative,6.6,Dr. Smith,"Average performance in initiative, working on improvements"
INT_0007_M6_Tec,INT_0007,2024,6,Technical Skills,7.9,Dr. Smith,"Strong technical skills, meets all expectations"
INT_0007_M6_Com,INT_0007,2024,6,Communication,7.6,Dr. Smith,"Strong communication, meets all expectations"
INT_0007_M6_Pro,INT_0007,2024,6,Problem Solving,6.8,Dr. Smith,"Developing problem solving skills, needs more practice"
INT_0007_M6_Tea,INT_0007,2024,6,Teamwork,8.2,Dr. Smith,"Strong teamwork, meets all expectations"
INT_0007_M6_Ini,INT_0007,2024,6,Initiative,9.1,Dr. Smith,"Exceptional initiative, consistently exceeds expectations"
INT_0008_M1_Tec,INT_0008,2024,1,Technical Skills,7.3,Dr. Williams,"Strong technical skills, meets all expectations"
INT_0008_M1_Com,INT_0008,2024,1,Communication,7.7,Dr. Williams,"Good performance in communication, reliable and consistent"
INT_0008_M1_Pro,INT_0008,2024,1,Problem Solving,7.2,Dr. Williams,"Strong problem solving, meets all expectations"
INT_0008_M1_Tea,INT_0008,2024,1,Teamwork,6.2,Dr. Williams,"Adequate teamwork, has room for improvement"
INT_0008_M1_Ini,INT_0008,2024,1,Initiative,7.9,Dr. Williams,"Solid initiative skills, continues to improve"
INT_0008_M2_Tec,INT_0008,2024,2,Technical Skills,10.0,Dr. Williams,"Outstanding performance in technical skills, great initiative"
INT_0008_M2_Com,INT_0008,2024,2,Communication,9.8,Dr. Williams,"Excellent communication, demonstrates advanced skills"
INT_0008_M2_Pro,INT_0008,2024,2,Problem Solving,9.8,Dr. Williams,"Exceptional problem solving, consistently exceeds expectations"
INT_0008_M2_Tea,INT_0008,2024,2,Teamwork,9.5,Dr. Williams,"Outstanding performance in teamwork, great initiative"
INT_0008_M2_Ini,INT_0008,2024,2,Initiative,10.0,Dr. Williams,"Excellent initiative, demonstrates advanced skills"
INT_0008_M3_Tec,INT_0008,2024,3,Technical Skills,8.5,Dr. Williams,"Good performance in technical skills, reliable and consistent"
INT_0008_M3_Com,INT_0008,2024,3,Communication,8.6,Dr. Williams,"Good performance in communication, reliable and consistent"
INT_0008_M3_Pro,INT_0008,2024,3,Problem Solving,8.3,Dr. Williams,"Good performance in problem solving, reliable and consistent"
INT_0008_M3_Tea,INT_0008,2024,3,Teamwork,8.7,Dr. Williams,"Solid teamwork skills, continues to improve"
INT_0008_M3_Ini,INT_0008,2024,3,Initiative,8.2,Dr. Williams,"Strong initiative, meets all expectations"
INT_0008_M4_Tec,INT_0008,2024,4,Technical Skills,7.7,Dr. Williams,"Solid technical skills skills, continues to improve"
INT_0008_M4_Com,INT_0008,2024,4,Communication,7.5,Dr. Williams,"Good performance in communication, reliable and consistent"
INT_0008_M4_Pro,INT_0008,2024,4,Problem Solving,8.1,Dr. Williams,"Solid problem solving skills, continues to improve"
INT_0008_M4_Tea,INT_0008,2024,4,Teamwork,6.9,Dr. Williams,"Adequate teamwork, has room for improvement"
INT_0008_M4_Ini,INT_0008,2024,4,Initiative,7.2,Dr. Williams,"Good performance in initiative, reliable and consistent"
INT_0008_M5_Tec,INT_0008,2024,5,Technical Skills,7.9,Dr. Williams,"Good performance in technical skills, reliable and consistent"
INT_0008_M5_Com,INT_0008,2024,5,Communication,9.5,Dr. Williams,"Excellent communication, demonstrates advanced skills"
INT_0008_M5_Pro,INT_0008,2024,5,Problem Solving,8.3,Dr. Williams,"Solid problem solving skills, continues to improve"
